id,name,text,trans
3009021020010,果穂,あーーーーー！！,啊————！！
3009021020020,果穂,ゆか先輩っっっっっ！！,优香学姐————！！
3009021020030,夏葉,えっ！,诶！
3009021020040,夏葉,ゆか先輩って、あのゆか先輩？,优香学姐是那个优香学姐？
3009021020050,果穂,そうですっ！　あのゆか先輩ですっ,是的！就是那个优香学姐！
3009021020060,果穂,やったー！　変身前のキラだ……っ！,太好了！是变身前的闪卡……！
3009021020070,夏葉,なるほど……！\nということは、変身後もあるのね？,原来如此……！\n也就是说，还有变身后的版本？
3009021020080,果穂,はい！\nこれ、スッゴくいっぱいあって……,是的！\n这个种类非常多……
3009021020090,果穂,えっと……100？　とか……？,嗯……100种？还是……？
3009021020100,夏葉,100種類ランダムなの……？\nレアリティもあるわよね……？,随机有100种……？\n也有稀有度之分吧……？
3009021020110,果穂,そうなんです,是的
3009021020120,夏葉,……ちょっと調べてもいい？,……可以查一下吗？
3009021020130,果穂,？　はい！,？ 好的！
3009021020140,夏葉,『ジャスティスⅤの名場面を余すところなく収録！\n全部で134種類、すべてにホログラム加工タイプあり！』,『正义Ⅴ的名场面尽收其中！\n共134种，每种都有全息版本！』
3009021020150,夏葉,それは……\n268種類なんじゃないかしら……？,那就是说……\n有268种咯……？
3009021020160,果穂,えへへっ\nだから全然集まらなくて！,嘿嘿\n所以完全集齐很难！
3009021020170,果穂,この先輩はキラなのでレアです！,这张学姐卡是闪卡，所以很稀有！
3009021020180,夏葉,そうなのね……！,原来如此……！
3009021020190,果穂,『あたり』ですっ,这是『中奖』了
3009021020200,果穂,夏葉さんのも開けましょう！,夏叶姐也来开一包吧！
3009021020210,果穂,今日はスッゴいのが出るかもしれません！,今天也许能开出很厉害的东西！
3009021020220,夏葉,ええ！,好！
3009021020230,夏葉,じゃあ────いくわよ……！,那────开始了哦……！
3009021020240,果穂,…………,…………
3009021020250,夏葉,私のは、これ！,这是我的！
3009021020260,果穂,っ！！,！！
3009021020270,果穂,最高レア！！！！！,最高稀有度！！！
3009021020280,果穂,──の、集合絵です！！,——的合集图！！
3009021020290,果穂,夏葉さん、スゴいですー！！！,夏叶姐，好厉害——！！！
3009021020300,夏葉,そんなになのね……！？,有那么厉害吗……！？
3009021020310,果穂,はい！\nこれ、キラなしの敵が出てくる時もあって……,是的！\n有时候会出没有闪的敌人卡……
3009021020320,果穂,だから、『全員いてキラ』は\nスッゴくスッゴくスゴいんです,所以，『全员闪光』\n非常非常稀有
3009021020330,夏葉,そう……！\n────じゃあ、これは果穂にプレゼント,是吗……！\n────那，这张送给果穂
3009021020340,果穂,えっ！？,诶！？
3009021020350,果穂,『じゃあ』……って、なんで……？,『那』……为什么……？
3009021020360,夏葉,だって、最高レアなんでしょう？,因为这是最高稀有的卡片吧？
3009021020370,果穂,はい\n……んん？,是的\n……嗯？
3009021020380,夏葉,私は、果穂と一緒に『何が出るかな？』って開けるのが\n楽しそうだと思って買ったの,我买这些卡片是因为觉得和果穂一起开\n会很有趣
3009021020390,夏葉,目的はもう達成されているのよ！,我的目的已经达成了！
3009021020400,果穂,でも、夏葉さんが買ったやつなのに……,可是，这是夏叶姐买的……
3009021020410,夏葉,……ええ、私が買ったやつだから,……是的，是我买的
3009021020420,夏葉,一番大切にしてくれて──\n価値がわかる人に持っていてもらいたいじゃない？,所以我希望这张卡能交给最珍惜它——\n懂得它价值的人
3009021020430,夏葉,だから、果穂のコレクションに加えてほしいのよ\nどう？,所以，我希望果穂能把它加入你的收藏\n怎么样？
3009021020440,果穂,──大事にします！,——我一定会珍惜的！
3009021020450,果穂,ありがとうございますー！,谢谢您——！
3009021020460,夏葉,いいえ、こちらこそありがとう,不客气，我也谢谢你
3009021020470,果穂,あの！\nこれ先にしまってきてもいいですか？,那个！\n我可以先把这张卡收起来吗？
3009021020480,果穂,おかし食べてたらよごしちゃうかも……っ,吃零食的时候可能会弄脏……
3009021020490,夏葉,もちろん！\nしまってきたら、残りも開けましょう！,当然可以！\n收好后，我们继续开剩下的！
3009021020500,夏葉,チーズ味と、蒲焼き味と、焼肉味\n全部食べなきゃだもの！,奶酪味、蒲烧味、烤肉味\n我们要全都吃完哦！
info,produce_events/300902102.json,,
译者,gpt-4o-2024-05-13,,
