id,name,text,trans
3027008010001,羽那＆はるき,寒ーい……！,好冷……！
3027008010010,羽那,お店、もうすぐだよね？,我们快到店里了吧？
3027008010020,はるき,うん……！,嗯……！
3027008010030,はるき,次の道を右に曲がったら着くはずだよ～\nがんばろうね……！,下个路口右转就到了～\n加油吧……！
3027008010040,羽那,あはっ、頑張る──！,啊哈，加油——！
3027008010050,はるき,ここを右です……！,这边右转……！
3027008010060,羽那,はーいっ,好——！
3027008010061,羽那＆はるき,寒ーい…………！,好冷…………！
3027008010070,羽那,……またハモったね？,……我们又默契地说了同样的话呢？
3027008010080,はるき,ね～,对啊～
3027008010081,羽那＆はるき,ふふっ──！,呵呵——！
3027008010082,羽那＆はるき,はぁ…………！,哈啊…………！
3027008010090,はるき,あったまるねぇ……,终于暖和起来了……
3027008010100,羽那,ねーっ……,是啊……
3027008010110,はるき,……羽那ちゃんは、どれにするか決めた？,……羽那，你决定好点什么了吗？
3027008010120,羽那,うん、オムライスだよ,嗯，我要点蛋包饭
3027008010130,羽那,はるきちゃんが前にURL送って\n教えてくれた、冬限定のやつ──！,是阳希之前发URL告诉我的\n那个冬季限定的——！
3027008010140,羽那,はるきちゃんは？\nやっぱり違うのにする？,阳希呢？\n还是要点别的吗？
3027008010150,はるき,……わたしも\nオムライスのつもりで来たんだけど──,……我本来也打算点蛋包饭的——
3027008010160,はるき,このグラタンも美味しそうだなぁって,不过这个焗烤看起来也很好吃
3027008010170,はるき,それにこれも\n冬の限定メニューなんだって……！,而且这个也是\n冬季限定菜单呢……！
3027008010180,羽那,あーっ,啊——
3027008010190,はるき,…………,…………
3027008010200,はるき,でも、今日の目的はオムライスだから……！,不过，今天的目标是蛋包饭……！
3027008010210,羽那,あはっ、うん,啊哈，嗯
3027008010220,羽那,じゃあ、冬のうちにまた来よっか,那我们冬天再来一次吧
3027008010230,羽那,今度はグラタンを食べに──！,下次就来吃焗烤——！
3027008010240,はるき,……ふふっ,……呵呵
3027008010250,はるき,そうだね。ありがとう～,说得对。谢谢你～
0000000000000,カフェ店員,『季節のオムライス』２点でございます,『季节的蛋包饭』两份
0000000000000,カフェ店員,ご注文は以上でよろしいでしょうか？,请问点单这样就可以了吗？
3027008010251,羽那＆はるき,はい,是的
0000000000000,カフェ店員,それではごゆっくりお過ごしください,那么请慢慢享用
3027008010260,はるき,羽那ちゃーん、こっち向いて,羽那，看这边
3027008010270,羽那,？,？
3027008010280,羽那,あはっ、写真？,啊哈，要拍照吗？
3027008010290,はるき,うん～,嗯～
3027008010300,羽那,ツイスタ用？,是为了发推特吗？
3027008010310,はるき,ううん、ツイスタにはあげないよ～,不，不发推特～
3027008010320,はるき,お店に許可ももらってないし、ファンの人が来ちゃったら\n今度グラタン食べに来にくくなっちゃうし……,也没得到店里的许可，而且如果粉丝来了\n下次就不好来吃焗烤了……
3027008010330,羽那,そっかー,这样啊——
3027008010340,羽那,じゃあこのカフェは、\nはるきちゃんとあたしの秘密だね？,那这家咖啡店就是\n阳希和我的秘密了？
3027008010350,はるき,えへへ……\nそうだねぇ,嘿嘿……\n是啊
3027008010360,はるき,……だからこの写真は,……所以这张照片是
3027008010370,はるき,ツイスタ用じゃなくて──\n思い出用かな？,不是为了发推特——\n而是为了留作回忆吧？
3027008010380,羽那,思い出用──！,留作回忆——！
3027008010390,羽那,なんか、いいねーっ,感觉真不错～
3027008010400,羽那,じゃあ、あたしも写真\n撮るね,那我也要拍一张\n照片
3027008010410,はるき,わ……！,哇……！
3027008010420,はるき,羽那ちゃんが写真撮るの、珍しいかも,羽那拍照，真是少见呢
3027008010430,羽那,えーっ、そうかな？,诶——是吗？
3027008010440,羽那,……そうかも？,……可能是吧？
3027008010450,はるき,そうだよ～,是啊～
3027008010460,羽那,じゃあ、はるきちゃんも\nこっち向いて？,那，阳希也\n看这边？
3027008010470,はるき,ふふ～\nピース……！,呵呵～\n茄子……！
3027008010480,羽那,あはっ、すっごくいい感じ──！,啊哈，感觉超级棒——！
info,produce_events/302700801.json,,
译者,deepseek-chat,,
