id,name,text,trans
0000000000000,プロデューサー,（今の俺にできること────）,（现在我能做的事────）
0000000000000,プロデューサー,（ルカが目の前のステージに集中できるように支えること\n望むことすべて叶えること）,（为了让路加能够专注于眼前的舞台\n实现她所有的愿望）
0000000000000,プロデューサー,（──ルカのために動くこと）,（──为了路加而行动）
0000000000000,プロデューサー,──ルカ,──路加
6026003010010,ルカ,……,……
0000000000000,プロデューサー,──頑張ってな……！,──加油……！
6026003010020,ルカ,は、何かと思えば,哈，我还以为是什么呢
6026003010030,ルカ,──ンな当たり前のことわざわざ言ってんな,──这种理所当然的事还特意说出来干嘛
6026003010040,ルカ,ステージで頑張らねェようなヤツは\nそもそもここにいねェんだよ────,在舞台上不努力的人\n根本就不会在这里────
info,produce_events/602600301.json,,
译者,gpt-4o-2024-05-13,,
