id,name,text,trans
0000000000000,プロデューサー,めぐるの大学ネタ\n先方に気に入ってもらえてよかったな,巡的大学趣事\n对方喜欢就好
2003019110010,めぐる,うんっ\nまだまだ話し足りないくらいあるよ,嗯\n还有很多没讲完呢
0000000000000,プロデューサー,ははっ\n充実してて何よりだよ,哈哈\n充实就好
0000000000000,プロデューサー,……久しぶりだなぁ,……好久没这样了
2003019110020,めぐる,え？,诶？
0000000000000,プロデューサー,こうして散歩しながら\nゆっくり帰るのってさ,像这样散步回家\n慢慢走着回去
2003019110030,めぐる,……うん,……嗯
0000000000000,プロデューサー,……お\n公園だ,……哦\n是个公园
2003019110040,めぐる,…………,…………
0000000000000,子どもの声,まって、ちょっとたんま！\nまだだよっていったら、まだだよー！,等一下，稍等一下！\n我说还没好，就还没好！
0000000000000,プロデューサー,はは、元気だなぁ,哈哈，真有活力啊
0000000000000,プロデューサー,そういえば……\n最近は公園に寄ることもなかったな,说起来……\n最近都没去过公园了
2003019110050,めぐる,……うん\nそうだね,……嗯\n是啊
0000000000000,プロデューサー,…………,…………
2003019110060,めぐる,……\nプロデューサー？,……\n制作人？
0000000000000,プロデューサー,なぁ、めぐる……\nちょっとだけ、公園寄っていかないか？,那个，巡……\n要不要稍微去一下公园？
2003019110070,めぐる,……へ？,……啊？
0000000000000,プロデューサー,ああ、いや……\nめぐるがよければなんだが,啊，不是……\n如果你愿意的话
2003019110080,めぐる,……\n……うんっ,……\n……嗯
0000000000000,プロデューサー,お、ブランコか……！\nははっ、懐かしいな,哦，是秋千……！\n哈哈，好怀念啊
2003019110090,めぐる,……プロデューサー？,……制作人？
0000000000000,プロデューサー,よっと……！,嘿……！
2003019110100,めぐる,…………,…………
0000000000000,プロデューサー,なぁ、めぐる\nどうやって大きく漕ぐんだっけ……？,那个，巡\n怎么才能荡得高来着……？
2003019110110,めぐる,……あ,……啊
0000000000000,プロデューサー,あれ……？\n……よっと！,咦……？\n……嘿！
2003019110120,めぐる,……,……
2003019110130,めぐる,……こうだよ、プロデューサー,……是这样的，制作人
2003019110140,めぐる,後ろに反らして……\n足を前に……こうっ,往后仰……\n脚往前……这样
0000000000000,プロデューサー,おっ……\nははっ、ほんとだ！,哦……\n哈哈，真的耶！
2003019110150,めぐる,……ふふっ,……呵呵
0000000000000,子ども,あっ……みて！\nおとなのひとがブランコのってる！,啊……看！\n大人也在玩秋千！
2003019110160,めぐる,！,！
0000000000000,プロデューサー,おう！\n大人だって、たまにはブランコに乗るんだぞー,哦！\n大人有时候也会荡秋千哦
2003019110170,めぐる,……っ,……啊
0000000000000,子ども,あはは！\nへんなんだー,哈哈哈！\n真奇怪啊
2003019110180,めぐる,…………,…………
0000000000000,プロデューサー,……変わらないよな,……真是没变啊
2003019110190,めぐる,……え？,……嗯？
0000000000000,プロデューサー,いくつになってもさ────,无论多少岁────
0000000000000,プロデューサー,この風の気持ちよさは,这风的感觉依然舒适
2003019110200,めぐる,…………,…………
2003019110210,めぐる,────うん！,────嗯！
2003019110220,めぐる,……ね、プロデューサー,……那个，制作人
0000000000000,プロデューサー,ん？,嗯？
2003019110230,めぐる,勝負しよ？\n靴飛ばし！,来比试一下？\n飞鞋比赛！
0000000000000,プロデューサー,お……！\n受けて立つぞ,哦……！\n接受挑战
2003019110240,めぐる,じゃあじゃあ、あっちに向かって\nいっぱい飛ばした方が勝ち！,那么，那么，就往那边\n飞得远的算赢！
0000000000000,プロデューサー,ははっ\nよーし……！,哈哈\n好……！
2003019110241,めぐる＆プロデューサー,……\nせー……,……\n预备……
2003019110242,めぐる＆プロデューサー,────のっ！,────开始！
2003019110250,めぐる,ねぇ、プロデューサー\nわたしね,哎，制作人\n我啊
2003019110260,めぐる,時間が経っちゃうことって\n仕方ないことだって思ってたの,时间流逝是\n无法避免的事情
0000000000000,プロデューサー,完敗だ……\nさすがだなぁ、めぐるは,完全败给你了……\n真不愧是巡啊
2003019110270,めぐる,えへへっ,嘿嘿
2003019110280,めぐる,成長できて、嬉しいことも\n遊べなくなっちゃって、寂しいことも,成长带来的喜悦\n无法再像以前那样玩耍的寂寞
2003019110290,めぐる,変わることは、仕方ないことなんだって,变化是无法避免的
0000000000000,プロデューサー,めぐる……\nまた公園、来ような,巡……\n我们再来公园吧
2003019110300,めぐる,え？,嗯？
0000000000000,プロデューサー,ほら、その……\nめぐるに今日のリベンジしなきゃいけないからさ,你看，就是那个……\n我还得向你今天报仇呢
2003019110310,めぐる,────\nうんっ！,────\n嗯！
2003019110320,めぐる,────それでもね,────即使如此
2003019110330,めぐる,ずっとずっと\n変わらないなぁって思うこと、あるよ,一直一直\n有些东西是不变的
0000000000000,プロデューサー,わっ！？,哇！？
0000000000000,プロデューサー,めぐる……？\n急にどうした────,巡……？\n怎么突然────
2003019110340,めぐる,プロデューサー\n────大好き！,制作人\n────我喜欢你！
info,produce_events/200301911.json,,
译者,gpt-4o-2024-05-13,,
