id,name,text,trans
6027003100010,羽那,──プロデューサー\nだめだったーっ……,──制作人\n不行了——
6027003100020,羽那,……やっぱり\nだめなのかな,……果然\n还是不行吗
6027003100030,羽那,このままじゃ、やっていけないのかな,这样下去，真的不能继续了吗
6027003100040,羽那,プロデューサーはどう思う？,制作人你怎么看？
0000000000000,プロデューサー,えっ……,诶……
0000000000000,プロデューサー,（どうして、そんなこと──）,（为什么，会这样——）
0000000000000,プロデューサー,──すべてのことが上手くいくとは限らない,──不是所有事情都会顺利
0000000000000,プロデューサー,今回の結果は、\nたまたま上手くいかなかったことの方だったんだと思うよ,这次的结果，我觉得只是碰巧不顺利罢了
0000000000000,プロデューサー,だから、羽那のせいじゃない,所以，这不是羽那的错
0000000000000,プロデューサー,羽那はそのままで、いいんだ,羽那只要保持现在的状态就好
6027003100050,羽那,──……,──……
6027003100060,羽那,そうなんだーっ,原来是这样啊——
info,produce_events/602700310.json,,
译者,gpt-4o-2024-05-13,,
