id,name,text,trans
6028003050010,はるき,わ……！　やりましたよ\nプロデューサーさん！,哇……！　我成功了\n育成者！
0000000000000,プロデューサー,ああ……！　よかったな、はるき……！,嗯……！　太好了，阳希……！
6028003050020,はるき,はい……！,是的……！
6028003050030,はるき,……先生たちが、わたしにいっぱい\n基礎をさせた意味を考えてました,……我在想，老师们让我做那么多\n基础训练的意义是什么
6028003050040,はるき,最初は、自分ができてないからだって思って\n悲しかったんですけど……,一开始，我以为是因为自己做不好\n所以感到难过……
6028003050050,はるき,『あー』と声を出すだけ\nただモチーフを『見る』だけ,只是发出『啊』的声音\n只是单纯地『看』着图案
6028003050060,はるき,それだけでも楽しいって思えた時,当我觉得即使只是这样也很有趣的时候
6028003050070,はるき,──周りがとても明るくなっていったんです,──周围变得非常明亮
0000000000000,プロデューサー,……ああ\n俺にも、光って見えた,……嗯\n在我眼中，也看到了光芒
0000000000000,プロデューサー,さっきのステージ,刚才的舞台
info,produce_events/602800305.json,,
译者,gpt-4o-2024-05-13,,
