id,name,text,trans
0000000000000,プロデューサー,おっ、咲耶はクリスマスベルか！\nより『クリスマス感』出るなぁ！,哦，咲耶是圣诞铃铛啊！\n更有“圣诞感”了呢！
4901700110010,咲耶,フフ、アナタもそう思う？,呵呵，你也是这么觉得吗？
4901700110020,咲耶,『天使が鳴らす鐘』、『幸せに導く』\nという意味があるんだそうだ,据说“天使敲响的铃声”意味着“引导幸福”
4901700110030,咲耶,これはオーナメントだから、\n本当の鐘のようには鳴らないけれど……──,虽然这只是装饰品，\n不会像真的铃铛那样响……──
4901700110040,咲耶,『祝福の天使が２８３プロのみんなを\n幸せに導いてくれますように』──そう願いを込めたよ,“祝福的天使会把283事务所的大家\n引导到幸福中”──我怀着这样的愿望
0000000000000,プロデューサー,そうか……！,是吗……！
0000000000000,プロデューサー,……うん\nきっとさ、来るよ。天使,……嗯\n一定会来的，天使
0000000000000,プロデューサー,咲耶が祈ってくれたから,因为咲耶祈祷了
4901700110050,咲耶,だといいな,那就太好了
4901700110060,咲耶,迷わず、ここまで来てくれたらいい,希望她能毫不犹豫地来到这里
info,special_communications/490170011.json,,
译者,gpt-4o-2024-05-13,,
