id,name,text,trans
0000000000000,歌番組スタッフ,収録、お疲れ様でしたー！,录制，辛苦了！
0000000000000,歌番組スタッフ,鈴木さんのオフショットって\n今お願いしてもいいですか？,可以现在拍铃木小姐的花絮照吗？
0000000000000,プロデューサー,はい、もちろんです……！,好的，当然可以……！
2027006010010,羽那,じゃあ、撮影お願いしまーすっ,那就拜托拍摄啦
2027006010020,羽那,ポーズとかは指定ありますか？,有指定的姿势吗？
0000000000000,歌番組スタッフ,そうですね──\n可愛い系のポーズ、お願いします！,嗯——请摆个可爱系的姿势！
2027006010030,羽那,可愛い系──,可爱系——
0000000000000,プロデューサー,…………,…………
0000000000000,歌番組スタッフ,あはは、ちょっと曖昧な指定すぎましたかね\nではほっぺハートで！,哈哈，有点太模糊了吗\n那就摆个脸颊心形吧！
2027006010040,羽那,あはっ、ありがとうございます,哈哈，谢谢
2027006010050,羽那,ほっぺですね\nわかりましたーっ,脸颊对吧\n明白了——
0000000000000,プロデューサー,……『好きめろポーズ』──,……『喜欢的姿势』——
2027006010060,羽那,えっ、何？,诶，什么？
0000000000000,プロデューサー,ああ、すまん……！\n流行りのポーズを調べてたんだ,啊，抱歉……！\n我在查流行的姿势
0000000000000,プロデューサー,ポーズのレパートリーを増やしておくと、\nさっきみたいなときに便利かなと思ってさ,想着多准备些姿势，\n像刚才那种情况会更方便
2027006010070,羽那,あーっ,啊——
select,,ハート系のポーズが\n多いみたいだぞ,好像有很多心形的姿势
select,,『猫耳』なんてのも\nあるぞ,还有『猫耳』这种
select,,『羽ハート』\nだってさ,也有『羽心形』
0000000000000,プロデューサー,指ハート、両手ハート\n半分ハート……,指心形、双手心形\n半个心形……
2027006010080,羽那,…………,…………
2027006010090,羽那,プロデューサー、\n半分ハートやってみてくれる？,制作人，\n可以试试半个心形吗？
0000000000000,プロデューサー,えっ、こうか？,诶，这样吗？
2027006010100,羽那,それを\nあたしの半分と合体して──,然后和\n我的半个心形合起来——
2027006010110,羽那,ハート──！,心形——！
0000000000000,プロデューサー,えっと……\n羽那、これはなんの意味があるんだ？,那个……\n羽那，这有什么意义吗？
2027006010120,羽那,えーっ？,诶——？
2027006010130,羽那,ふふっ、やりたかっただけ──！,呵呵，只是想试试——！
0000000000000,プロデューサー,両手のピースを頭につけて\n猫耳にするみたいだ,用双手的V字贴在头上\n像猫耳一样
0000000000000,プロデューサー,──こうかな？,——这样吗？
2027006010140,羽那,あー……,啊——
2027006010150,羽那,ふふっ、本当だ\n猫だ──！,呵呵，真的\n像猫——！
2027006010160,羽那,可愛いね？,可爱吗？
0000000000000,プロデューサー,な、なんか\n恥ずかしくなってきたな……,这，这有点\n害羞……
2027006010170,羽那,あはっ、じゃあ\nあたしもやってみるね,哈哈，那\n我也试试
2027006010180,羽那,猫──！,猫——！
2027006010190,羽那,……可愛い？,……可爱吗？
0000000000000,プロデューサー,はは、おう！\n可愛いぞ,哈哈，当然！\n很可爱
0000000000000,プロデューサー,両手の親指と人差し指でハートを作って\n残りの指を羽みたいにひろげるポーズらしいぞ,用双手的拇指和食指做心形\n其他手指像羽毛一样展开
0000000000000,プロデューサー,こういう感じで……,大概是这样……
2027006010200,羽那,…………,…………
0000000000000,プロデューサー,あれ、気に入らなかったか！？,怎么，不喜欢吗！？
2027006010210,羽那,あはっ、ううん──！,哈哈，不是——！
2027006010220,羽那,プロデューサーのハートポーズ\n可愛いなーと思って,我觉得制作人的心形姿势\n很可爱
0000000000000,プロデューサー,い、いや……\nそこは触れなくていいから……！,不，不要这么说啦……！
2027006010230,羽那,えーっ？,诶——？
0000000000000,プロデューサー,でもこのポーズ、名前的にも羽那にぴったりだし\nこれからも使っていけるんじゃないかな,不过这个姿势，名字也很适合羽那\n以后也可以用哦
2027006010240,羽那,あ、確かに──！,啊，确实——！
2027006010250,羽那,プロデューサー的には、羽ハートがおすすめ？,制作人推荐羽心形吗？
0000000000000,プロデューサー,おう、そうだな……！,嗯，是的……！
2027006010260,羽那,そっかー\nじゃあ、覚えておこうかなーっ,原来如此\n那我记住啦——
info,produce_events/202700601.json,,
译者,gpt-4o-2024-05-13,,
