id,name,text,trans
3001023010010,真乃,……３つの物質が合わさってひとつに……だから……\nえっと……CaCO₃＋……,……三种物质合成一个……所以……\n那个……CaCO₃＋……
3001023010020,めぐる,んー……,嗯……
3001023010030,めぐる,お腹空いたー！\n頭が甘いの食べたいなーって言ってる……！,肚子饿了——！\n脑子在说想吃甜的……
3001023010040,真乃,『ほわ\n私も……』,『好啊\n我也……』
3001023010050,めぐる,────あ、ねえねえ！\nちょうどお待ちかねのおやつタイムかも……！,——啊，嘿嘿！\n刚好是期待已久的点心时间……！
3001023010060,真乃,『あ……────』,『啊……——』
3001023010070,真乃,……────ほんとだ……っ\n灯織ちゃんの番組、もうすぐだね……,……——真的……\n灯织的节目快要开始了……
3001023010080,めぐる,『おやつ、急いで取ってこなくちゃ！』,『得赶紧去拿点心！』
3001023010090,真乃,うん……それじゃあ\n準備してくるね……っ,嗯……那我\n去准备一下……
3001023010100,めぐる,『はーい！』,『好——的！』
3001023010110,めぐる,『真乃、準備オッケー？』,『真乃，准备好了吗？』
3001023010120,真乃,画面共有も……うん……\nオッケー……っ,屏幕共享也……嗯……\n好了……
3001023010130,めぐる,『おやつ、ちゃんと配信に合わせて買ってきたよ────』,『点心我特意买来配合直播的——』
3001023010131,真乃＆めぐる,マロングラッセ……っ,糖渍栗子……
3001023010140,めぐる,『────あ、始まった！』,『——啊，开始了！』
3001023010150,真乃,ほわ……っ,好啊……
3001023010160,配信の灯織,『みなさんこんばんは\n風野灯織です』,『大家晚上好\n我是风野灯织』
3001023010170,配信の灯織,『秋の味覚が美味しいこの季節\n今日のスイーツはこちら────』,『这个秋天的美味时刻\n今天的甜点是——』
3001023010180,配信の灯織,『『マローニ・カンディーティ』』,『“马罗尼·坎迪提”』
3001023010190,めぐる,まろ……？,马罗……？
3001023010200,真乃,『……？』,『……？』
3001023010210,配信の灯織,『────フランス語では『マロングラッセ』と言います\nこちらのほうが馴染みがあるかもしれませんね』,『——法语中叫“马龙格拉塞”\n这个名字大家可能更熟悉』
3001023010220,めぐる,……！\nよかった、間違えて用意しちゃったかと思った！,……！\n太好了，还以为准备错了呢！
3001023010230,真乃,『私も……\nイタリア語とフランス語で、少し違うんだ……』,『我也是……\n意大利语和法语有点不一样……』
3001023010240,めぐる,ねー,是啊
3001023010250,めぐる,灯織、明日も撮影って言ってたけど、\nこの時間なら、まだ起きてるかな？,灯织说明天还有拍摄，不过\n这个时间她应该还没睡吧？
3001023010260,真乃,……どうかな？　\nさっきまで、メッセージくれてたけど……,……不知道呢？\n刚才还在发信息……
3001023010270,めぐる,『……じゃあ\n今のうちに、ちょっとだけ……！』,『……那\n趁现在，稍微……！』
3001023010280,めぐる,『今、見てるよー！』,『现在在看哦——！』
3001023010290,真乃,『私も、マロングラッセと一緒に』,『我也，和糖渍栗子一起』
3001023010300,めぐる,『マローニ・アルデンテ……？』,『马罗尼……阿尔登特？』
3001023010310,灯織,『マローニ・カンディーティ、だよ』,『是“马罗尼·坎迪提”哦』
3001023010320,灯織,『ありがとう』,『谢谢』
3001023010330,灯織,『配信に合わせて用意してくれたんだ』,『特意为了直播准备的』
3001023010340,灯織,『嬉しいな』,『好开心』
3001023010350,配信の灯織,『……それでは、マロングラッセを使った\nアレンジレシピを実際に作ってみます────』,『……那么，用糖渍栗子\n来做一下改良食谱——』
3001023010360,真乃,配信の中の灯織ちゃんと……\n今私たちとお話ししてる灯織ちゃんがいるの……,直播中的灯织……\n和现在和我们聊天的灯织……
3001023010370,真乃,……ちょっと、不思議かも……,……有点神奇……
3001023010380,めぐる,『……！\nほんとだ……！』,『……！\n真的……！』
3001023010390,めぐる,『なんか、こう……\n未来の灯織と話してる……みたいな！？』,『有点像……\n在和未来的灯织聊天……！？』
3001023010400,真乃,ほわ……\nそんな感じ、かも……,好啊……\n也许是这样……
3001023010410,めぐる,『えへへ、じゃあ未来の灯織に……\n『明日の収録も、応援してるよ！』』,『嘿嘿，那对未来的灯织……\n“明天的录制也加油哦！”』
3001023010420,真乃,えっと……\n『灯織ちゃん、ファイト＾＾』,那个……\n“灯织，加油＾＾”
3001023010430,めぐる,『それじゃ……\nいただきまーす！』,『那就……\n我开动啦！』
3001023010440,真乃,私も\nいただきます……っ,我也\n开动了……
3001023010450,めぐる,『────んー！\n美味しい……！』,『——嗯！\n好吃……！』
3001023010460,真乃,ん……\nほわぁ、甘い……,嗯……\n好甜……
3001023010470,真乃,……ミルクティーにも、よく合って……\nなんだか、落ち着くかも……,……和奶茶很配……\n感觉很舒服……
3001023010480,めぐる,『勉強、配信までの\n空き時間のためだったけど……』,『学习，直到直播开始\n为了填空闲时间……』
3001023010490,めぐる,『いっぱい頑張った分、\nなんだか美味しくなってる感じする！』,『努力了这么多，\n感觉更好吃了！』
3001023010500,真乃,うん……っ,嗯……
3001023010510,真乃,……？,……？
3001023010520,灯織,『ありがとう、ふたりとも』,『谢谢你们，两个』
3001023010530,灯織,『離れてても応援してくれてるって\n感じるから』,『即使分开了也能感受到\n你们的支持』
3001023010540,灯織,『明日も落ち着いて頑張れそう』,『明天也能冷静地努力』
3001023010550,めぐる,『……えへへっ\n灯織には、わたしたちがついてるよー』,『……嘿嘿\n灯织，有我们在哦——』
3001023010560,真乃,私も……\n一緒だよ、灯織ちゃん……,我也……\n一起的，灯织……
3001023010570,真乃,次の配信も、楽しみだな……,下次的直播，也很期待……
3001023010580,めぐる,『ね！\n今度はどんなお菓子かなー？』,『对呀！\n下次会是什么甜点呢？』
info,produce_events/300102301.json,,
译者,gpt-4o-2024-05-13,,
