id,name,text,trans
0000000000000,央路のファン１,────来た！　鈴木羽那！！,——来了！铃木羽那！！
1027003040010,羽那,！,！
0000000000000,央路のファン２,ねぇ、央路と付き合ってるってほんと！？,喂，真的和央路在一起了吗！？
0000000000000,央路のファン１,いつから？\n撮影始まってすぐ手出したってこと？,什么时候开始的？\n拍摄一开始就动手了吗？
1027003040020,羽那,……────,……——
0000000000000,央路のマネージャー,鈴木さん、こっち\n入って,铃木小姐，这边\n进来
1027003040030,羽那,──！,——！
0000000000000,央路のファン１,うわ、マネが鈴木羽那庇ってる！,哇，经纪人在庇护铃木羽那！
0000000000000,央路のファン２,ってことはクロじゃん！\nありえないんだけど…………！,这就是说是黑的啊！\n真是不可思议……！
1027003040040,羽那,──……,——……
1027003040050,羽那,──あの\nごめんなさい、ありがとうございました,——那个\n对不起，谢谢你们
0000000000000,央路のマネージャー,…………\n鈴木さんは、スキャンダルって初めて？,……\n铃木小姐，这是你第一次遇到绯闻吗？
1027003040060,羽那,はい,是的
0000000000000,央路のマネージャー,……そう,……这样啊
0000000000000,央路のマネージャー,────央路、結構傷ついてるみたいなんだ,——央路，似乎受了很大的打击
0000000000000,央路のマネージャー,嘘だとしても、スキャンダルがきっかけで\nファンは減っちゃうし,即使是假的，绯闻也会导致\n粉丝流失
0000000000000,央路のマネージャー,でも鈴木さんは、あんまり気にしてないのかな,但铃木小姐，你好像不太在意
0000000000000,央路のマネージャー,責任とか、感じない？,你不觉得有责任吗？
1027003040070,羽那,……────,……——
1027003040080,羽那,ごめんなさい、えっと……,对不起，那个……
0000000000000,央路のマネージャー,……私に謝られても,……你跟我道歉也没用
0000000000000,央路のマネージャー,とにかく、もっと考えてくれるかな,总之，希望你能多考虑一下
0000000000000,央路のマネージャー,あなただってアイドルでしょ\nこういうの、よくないんじゃない？,你也是偶像吧\n这种事，不好吗？
1027003040090,羽那,…………,……
0000000000000,プロデューサー,────沈黙をしてほしい、って…………,——希望你能保持沉默，意思是……
0000000000000,ドラマプロデューサー,『いやいや、こっちに事務所さんの対応を\n強制するような力はないですからね』,「不不，我们没能力强制\n事务所的应对方式」
0000000000000,ドラマプロデューサー,『ウチとしてはそうしてくれると嬉しい、って話ですよ\nシンプルに、ドラマの宣伝になるんで……』,「我们只是希望这样能帮忙宣传\n简单来说，对电视剧有好处……」
0000000000000,ドラマプロデューサー,『それに央路くん側の事務所さんも\n否定文は出さないってことで了承してくれてるんですよ』,「而且央路那边的事务所\n也同意不发表否认声明」
0000000000000,ドラマプロデューサー,『ドラマの注目度が上がるってのは、羽那ちゃんにとっても\n悪い話じゃないと思うんですけどね』,「提高电视剧的关注度，对羽那来说\n也不是什么坏事吧」
0000000000000,プロデューサー,……っ、ですが──,……但——
0000000000000,プロデューサー,（羽那の仕事は、このドラマだけじゃない）,（羽那的工作，不只有这部电视剧）
0000000000000,プロデューサー,（……何より、スキャンダルがあるとなれば\n『G.R.A.D.』への影響は大きい）,（……更重要的是，有绯闻的话\n对‘G.R.A.D.’的影响很大）
0000000000000,ドラマプロデューサー,『…………まぁ、繰り返しになりますが\nウチに強制力はないんで』,「……虽然重复了\n我们没有强制力」
0000000000000,ドラマプロデューサー,『──ただ、今回の対応については羽那ちゃんや２８３さん\nとの今後のお付き合いにも関わるかなと思うんで』,「——但是，这次的应对方式\n也关系到我们和283事务所今后的合作」
0000000000000,ドラマプロデューサー,『そのあたり含めて、ご判断いただけたら』,「希望你们能综合考虑，再做决定」
0000000000000,プロデューサー,…………っ────,……——
0000000000000,スタッフ,お疲れ様でしたー！\n撤収の時間です！　次回もよろしくお願いしますねー！,辛苦了！\n收工时间到了！下次也请多关照！
0000000000000,央路,────ねぇ,——喂
0000000000000,央路,鈴木さん。今日の撮影\n全然集中できてな────,铃木小姐。今天的拍摄\n完全无法集中——
0000000000000,央路のマネージャー,────央路、結構傷ついてるみたいなんだ,——央路，似乎受了很大的打击
0000000000000,央路のマネージャー,とにかく、もっと考えてくれるかな,总之，希望你能多考虑一下
1027003040100,羽那,────っ──,——
1027003040110,羽那,ごめんっ\n……ごめんね────！,对不起\n……对不起——！
0000000000000,央路,…………？,……？
1027003040120,羽那,…………──,……——
1027003040130,羽那,『記事の否定のやつ\nいつ出るか決まった？』,「否认报道的事情\n什么时候能决定？」
0000000000000,プロデューサー,……！,……！
0000000000000,プロデューサー,『すまん\nまだなんだ』,「对不起\n还没有」
1027003040140,羽那,『わかったよ』,「我明白了」
0000000000000,プロデューサー,…………,……
0000000000000,プロデューサー,（────羽那\n本当はもう、決まってるんだ）,（——羽那\n其实已经决定了）
0000000000000,プロデューサー,（……否定はできないんだよ\n羽那のことを思うと）,（……不能否认\n为了羽那着想）
info,produce_events/102700304.json,,
译者,gpt-4o-2024-05-13,,
